
Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7,Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7,Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7,Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7,Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7,Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7,Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7,Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7,Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7,Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7,Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7,Top of the 6th Nationals Batting Behind 3-8 Phillies' Severino Gonzalez facing 5-6-7
t6,3-8,0,---,8(2-2) FSBFFFBT,O,WSN,I. Desmond,S. Gonzalez,1%,97%,Strikeout Swinging
t6,3-8,1,---,1(0-0) X,R,WSN,J. Lobaton,S. Gonzalez,-3%,95%,Home Run (Line Drive to Deep RF)
,,,,,,,,,Jeanmar Gomez replaces Severino Gonzalez pitching and batting 9th,Jeanmar Gomez replaces Severino Gonzalez pitching and batting 9th,Jeanmar Gomez replaces Severino Gonzalez pitching and batting 9th
t6,4-8,1,---,3(2-0) .BBX,,WSN,T. Moore,J. Gomez,-2%,92%,Double to LF (Ground Ball thru SS-3B Hole)
t6,4-8,1,-2-,3(2-0) BBX,O,WSN,M. den Dekker,J. Gomez,2%,94%,Flyball: CF (Deep CF)
,,,,,,,,,Wilmer Difo pinch hits for Felipe Rivero (P) batting 9th,Wilmer Difo pinch hits for Felipe Rivero (P) batting 9th,Wilmer Difo pinch hits for Felipe Rivero (P) batting 9th
t6,4-8,2,-2-,5(2-2) .BSSBS,O,WSN,W. Difo,J. Gomez,2%,96%,Strikeout Swinging
,,,,,,,,,1 run 2 hits 0 errors 1 LOB. Nationals 4 Phillies 8.,1 run 2 hits 0 errors 1 LOB. Nationals 4 Phillies 8.,1 run 2 hits 0 errors 1 LOB. Nationals 4 Phillies 8.
Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7,Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7,Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7,Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7,Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7,Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7,Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7,Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7,Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7,Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7,Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7,Bottom of the 6th Phillies Batting Ahead 8-4 Nationals' Blake Treinen facing 5-6-7
