
Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3
b3,6-0,2,---,4(2-1) BBFX,,WSN,T. Moore,M. Wisler,0%,96%,Single to LF (Ground Ball thru SS-3B Hole)
b3,6-0,2,1--,5(3-1) SBBBX,O,WSN,M. Taylor,M. Wisler,-0%,96%,Lineout: CF
,,,,,,,,,3 runs 4 hits 0 errors 1 LOB. Braves 0 Nationals 6.,3 runs 4 hits 0 errors 1 LOB. Braves 0 Nationals 6.,3 runs 4 hits 0 errors 1 LOB. Braves 0 Nationals 6.
Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5,Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5,Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5,Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5,Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5,Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5,Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5,Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5,Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5,Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5,Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5,Top of the 4th Braves Batting Behind 0-6 Nationals' Doug Fister facing 3-4-5
t4,0-6,0,---,3(0-2) CFX,O,ATL,N. Markakis,D. Fister,1%,97%,Popfly: 2B (Deep 1B)
t4,0-6,1,---,1(0-0) X,O,ATL,A. Pierzynski,D. Fister,0%,97%,Flyball: LF (Short LF-CF)
t4,0-6,2,---,3(1-1) BSX,O,ATL,J. Terdoslavich,D. Fister,0%,97%,Groundout: 2B-1B (2B-1B)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 6.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 6.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 6.
Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2,Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2,Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2,Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2,Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2,Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2,Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2,Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2,Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2,Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2,Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2,Bottom of the 4th Nationals Batting Ahead 6-0 Braves' Matt Wisler facing 9-1-2
b4,6-0,0,---,4(2-1) BFBX,,WSN,D. Fister,M. Wisler,0%,98%,Single to RF (Ground Ball thru 2B-1B)
b4,6-0,0,1--,3(1-1) S*BX,O,WSN,D. Span,M. Wisler,-0%,97%,Flyball: CF (Short CF)
b4,6-0,1,1--,4(2-1) *BFBX,,WSN,D. Espinosa,M. Wisler,0%,98%,Single to CF (Line Drive); Fister to 2B
b4,6-0,1,12-,1(0-0) X,OO,WSN,Y. Escobar,M. Wisler,-1%,97%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,0 runs 2 hits 0 errors 1 LOB. Braves 0 Nationals 6.,0 runs 2 hits 0 errors 1 LOB. Braves 0 Nationals 6.,0 runs 2 hits 0 errors 1 LOB. Braves 0 Nationals 6.
Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8,Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8,Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8,Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8,Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8,Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8,Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8,Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8,Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8,Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8,Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8,Top of the 5th Braves Batting Behind 0-6 Nationals' Doug Fister facing 6-7-8
t5,0-6,0,---,4(0-2) CFFX,,ATL,K. Johnson,D. Fister,-1%,96%,Single to RF (Line Drive to Deep CF-RF)
t5,0-6,0,1--,5(1-2) BFSFH,,ATL,J. Gomes,D. Fister,-2%,94%,Hit By Pitch; Johnson to 2B
t5,0-6,0,12-,3(1-1) BFX,O,ATL,P. Ciriaco,D. Fister,2%,95%,Flyball: CF (Deep CF); Johnson to 3B
,,,,,,,,,Eury Perez pinch hits for Matt Wisler (P) batting 9th,Eury Perez pinch hits for Matt Wisler (P) batting 9th,Eury Perez pinch hits for Matt Wisler (P) batting 9th
t5,0-6,1,1-3,1(0-0) .X,OO,ATL,E. Perez,D. Fister,3%,98%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 6.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 6.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 6.
Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6,Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6,Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6,Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6,Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6,Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6,Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6,Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6,Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6,Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6,Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6,Bottom of the 5th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 4-5-6
,,,,,,,,,David Aardsma replaces Eury Perez (PH) pitching and batting 9th,David Aardsma replaces Eury Perez (PH) pitching and batting 9th,David Aardsma replaces Eury Perez (PH) pitching and batting 9th
b5,6-0,0,---,4(2-1) .BCBX,,WSN,C. Robinson,D. Aardsma,0%,98%,Single to RF (Line Drive)
b5,6-0,0,1--,1(0-0) X,O,WSN,W. Ramos,D. Aardsma,-0%,98%,Groundout: P-1B (Front of Home); Robinson to 2B
